SAMPLE,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,3:22985001,6:15880001,12:20650001,20:14055001,SUM_CAB_READS,SUM_KAGA_READS,TOTAL_READS,PROP_CAB_READS,PROP_KAGA_READS,SUM_GT_CAB,SUM_GT_HET,SUM_GT_KAGA,TOTAL_GT,PROP_CAB_GT,PROP_HET_GT,PROP_KAGA_GT
201,28596,63.208183908046,0.263472333042584,239.904445290769,6.1768312063351e-48,66.12,1.79,0.33,65.18,2.26,8_1_21,AU,-1,0,-1,1,6360903,2957719,9318622,0.6826012472659584,0.31739875273404156,27794,45021,29717,102532,0.2710763468965786,0.43909218585417237,0.289831467249249
202,NA,58.996551724138,0.242470560061116,243.31428817283,4.1612555387954e-48,57.35,1.13,0.21,57.49,0.83,8_1_21,AU,-1,0,-1,1,6127738,7023254,13150992,0.4659525304250812,0.5340474695749188,19803,59495,24979,104277,0.1899076498173135,0.570547675901685,0.23954467428100157
203,20280,54.4482068965517,0.408318708754254,133.347323375577,8.43118117993298e-41,58.57,2.58,0.48,59.9,4.29,8_1_21,AU,-1,0,-1,1,6365587,4958263,11323850,0.5621398199375655,0.4378601800624346,40635,42395,21058,104088,0.39039082314964263,0.4072995926523711,0.2023095841979863
204,31606,58.0033333333333,0.254156317920574,228.219128321885,2.49850753114723e-47,59.75,1.19,0.22,59.14,1.73,8_1_21,AU,-1,NA,NA,1,5014137,4917921,9932058,0.5048437091285612,0.49515629087143875,31868,41552,29299,102719,0.31024445331438194,0.40452107205093507,0.285234474634683
205,23121,58.018091954023,0.197660592830472,293.523818396029,2.18158989208893e-50,59.17,0.83,0.15,59.3,1.43,8_1_21,AU,0,-1,0,1,5233215,2531198,7764413,0.674000082169766,0.3259999178302339,33533,42944,22051,98528,0.3403398018837285,0.43585579733679763,0.22380440077947386
206,21155,56.001632183908,0.254933819099057,219.671255786382,7.27171392313053e-47,59.65,2.18,0.4,58.84,3.54,8_1_21,AU,-1,0,-1,1,5765776,2780098,8545874,0.6746853510828734,0.3253146489171266,37580,40743,20073,98396,0.3819260945566893,0.41407171023212325,0.20400219521118745
207,25693,59.0001609195402,0.12623861329077599,467.370160219048,4.82431727436932e-56,61.24,1.31,0.24,61.71,2.03,8_1_21,AU,-1,0,NA,0,6478978,5888768,12367746,0.5238608554865212,0.47613914451347883,25694,54763,24029,104486,0.24590854277128035,0.5241180636640316,0.2299733935646881
208,24226,57.7209425287356,0.134767137169334,428.301318415703,5.55668932419753e-55,59.7,1.18,0.22,59.3,1.73,8_1_21,AU,0,NA,-1,1,6375276,2629628,9004904,0.7079782305286098,0.29202176947139025,40934,36744,25533,103211,0.3966050130315567,0.3560085649785391,0.24738642198990418
209,26461,57.9489425287356,0.112753902151988,513.941792015525,3.37663020429417e-57,62.15,2.4,0.45,61.56,4.07,8_1_21,AU,-1,0,-1,1,4409601,2325046,6734647,0.6547634939143804,0.3452365060856196,31902,42850,19339,94091,0.33905474487464266,0.4554101880094802,0.20553506711587718
210,15986,58.2349195402299,0.322760331803413,180.42774716101,1.7912263920753e-44,60.18,1.39,0.26,60.8,1.43,9_1_21,AU,0,-1,-1,1,5846221,2454313,8300534,0.704318661907776,0.29568133809222397,40246,49793,11487,101526,0.3964107716250025,0.49044579713570907,0.11314343123928845
211,20483,64.828344827586207,0.275145435525626,235.614829312872,1.02343343973804e-47,67.03,1.45,0.27,66.23,1.13,9_1_21,AU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,21846,57.8816781609196,0.192975417178452,299.943272605516,1.19061736426443e-50,61.08,1.88,0.35,61.56,2.56,9_1_21,AU,-1,1,-1,1,4322317,2911684,7234001,0.5975001938761136,0.40249980612388636,25135,43403,28018,96556,0.2603152574671693,0.4495111645055719,0.2901735780272588
213,23146,56.3390804597701,0.170902519785031,329.656230526244,8.46187206787009e-52,62.72,3.65,0.68,62.46,5.58,9_1_21,AU,-1,1,NA,1,3934566,1870521,5805087,0.6777789893588159,0.3222210106411842,34782,39071,22129,95982,0.36238044633368754,0.40706590819111915,0.23055364547519328
214,24100,56.5718620689655,0.106803568946756,529.681382624655,1.4511032077786e-57,59.33,1.59,0.3,59.14,3.16,9_1_21,AU,-1,-1,-1,1,5727231,3565879,9293110,0.6162878734890688,0.38371212651093123,32958,48137,20260,101355,0.32517389373982536,0.4749346356864486,0.199891470573726
215,27399,69.2805287356322,0.319040885848238,217.152508686889,1.00413463887333e-46,67.18,1.46,0.27,66.53,2.63,9_1_21,AU,-1,-1,NA,NA,4305454,1547760,5853214,0.7355709188148597,0.26442908118514036,40408,35124,14893,90425,0.4468675698092342,0.3884324025435444,0.16470002764722144
216,24640,58.6171264367816,0.170947452418845,342.895583451934,2.81037467802507e-52,60.92,1.39,0.26,60.2,1.73,9_1_21,AU,-1,-1,-1,0,5066528,3040531,8107059,0.6249526492899583,0.3750473507100417,31934,51825,16387,100146,0.3188744433127634,0.5174944580911869,0.16363109859604977
217,24994,60.2837011494252,0.149135279440487,404.221599178897,2.80765109407091e-54,62.87,1.52,0.28,63.37,2.94,9_1_21,AU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,22974,62.9197011494253,0.0917830705518064,685.52621710243,1.06089544476739e-60,65.83,1.67,0.31,65.48,2.87,9_1_21,AU,-1,-1,-1,0,5058369,2554762,7613131,0.6644268961088414,0.3355731038911586,39249,41167,16567,96983,0.4046997927471825,0.42447645463637956,0.17082375261643792
219,20000,56.9705747126437,0.211217905909092,269.724171667358,2.32636968871526e-49,61.02,2.36,0.44,61.56,4.38,9_1_21,AU,0,-1,-1,1,2913808,1947326,4861134,0.5994091090679664,0.40059089093203354,25476,46116,19728,91320,0.27897503285151115,0.5049934296977661,0.21603153745072273
220,26666,62.8030114942529,0.493504934960737,127.259135715126,3.11352620951705e-40,65,1.8,0.33,65.03,3.77,9_1_21,DB,-1,0,NA,1,4481965,3146341,7628306,0.5875439448810784,0.4124560551189215,35719,43914,19583,99216,0.3600124979841961,0.44261006289308175,0.19737743912272215
221,28194,56.4252873563219,0.140393369663206,401.908491061096,3.29698425937436e-54,61.3,2.79,0.52,61.86,4.45,9_1_21,DB,-1,0,0,0,7397338,4436860,11834198,0.6250814799617177,0.3749185200382823,39604,47162,16925,103691,0.38194250224223897,0.45483214550925344,0.1632253522485076
222,23828,60.595908045977,0.130157774887341,465.557344526103,5.37883649772004e-56,62.49,1.13,0.21,62.31,1.13,9_1_21,DB,-1,NA,-1,1,2392262,2275305,4667567,0.5125286900005934,0.4874713099994065,22305,52236,20648,95189,0.23432329365788063,0.5487608862368551,0.21691582010526425
223,25676,63.5737241379311,0.145090729214117,438.165308578142,2.93748631991564e-55,65.15,0.97,0.18,65.33,0.76,9_1_21,DB,-1,NA,0,1,3010106,2547305,5557411,0.5416381836794147,0.45836181632058526,30671,37143,23380,91194,0.3363269513345176,0.4072965326666228,0.2563765159988596
224,23274,62.7115632183908,0.15564100855165,402.924420767807,3.07200954404317e-54,65.59,1.68,0.31,65.78,3.62,9_1_21,DB,-1,-1,-1,0,4218728,2211583,6430311,0.6560690454940671,0.3439309545059329,38973,40257,16623,95853,0.4065913429939595,0.41998685487152204,0.1734218021345185
225,30325,59.1454482758621,0.18343225065385,322.437565177531,1.57266513269929e-51,61.58,1.46,0.27,62.16,2.63,9_1_21,DB,-1,-1,-1,1,5816068,1879632,7695700,0.7557555518016554,0.24424444819834454,49889,29122,19266,98277,0.5076365782431291,0.29632569166742984,0.19603773008944106
226,22120,61.9610114942528,0.382005107594027,162.199432056027,3.52422376874447e-43,62.23,1.01,0.19,62.16,1.43,9_1_21,DB,-1,NA,NA,0,4608054,1919015,6527069,0.7059913109544269,0.29400868904557315,36423,48662,13131,98216,0.370845890689908,0.4954589883522033,0.13369512095788874
227,26886,54.9131954022988,0.67064810282854,81.8807884055674,6.93593657130182e-35,59.83,3.3,0.61,58.54,3.54,10_1_21,AU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,23144,51.1563678160919,0.812879915888983,62.9322570482582,1.05885655840292e-31,57.98,4.42,0.82,56.88,3.69,10_1_21,AU,-1,NA,-1,0,5392480,2675490,8067970,0.6683812656715382,0.3316187343284618,40506,42436,20149,103091,0.3929149974294555,0.41163632130835864,0.19544868126218584
229,22606,55.9193333333333,0.136151313684,410.714607301691,1.79720242776167e-54,57.14,0.78,0.14,57.03,1.21,10_1_21,AU,-1,1,NA,1,3891166,1487855,5379021,0.7233966924464508,0.2766033075535492,43049,34665,19097,96811,0.4446705436365702,0.3580688144942207,0.19726064186920908
230,27809,59.1960459770115,0.149662877438024,395.529252078724,5.15992999298209e-54,64.01,2.76,0.51,63.67,5.05,10_1_21,AU,-1,1,-1,1,4293465,3745303,8038768,0.5340949011092248,0.4659050988907753,37311,43154,22630,103095,0.3619089189582424,0.4185848004267908,0.21950628061496677
231,21789,57.5505287356322,0.131966606204449,436.099179867309,3.35307960485706e-55,59.73,1.28,0.24,59.75,2.64,10_1_21,AU,-1,NA,-1,1,3743773,3048291,6792064,0.5511981335864915,0.44880186641350844,34262,43307,22084,99653,0.34381303121832757,0.43457798561006694,0.22160898317160546
232,21744,66.1975172413793,0.123994353954524,533.87525423663806,1.16360388865785e-57,69.08,1.67,0.31,69.55,2.56,10_1_21,DB,-1,-1,-1,1,6441675,2848608,9290283,0.6933776936612157,0.3066223063387843,45713,33416,23486,102615,0.4454806802124446,0.32564439896701264,0.2288749208205428
233,23188,61.3907356321839,0.220516458347826,278.395254903609,9.59494519858404e-50,63.54,1.35,0.25,63.06,2.64,10_1_21,DB,-1,NA,-1,0,6383380,3633419,10016799,0.6372674544033479,0.3627325455966522,26659,58630,19287,104576,0.2549246481028152,0.5606448898408812,0.18443046205630356
234,26621,64.6055172413793,0.207196803498898,311.807499683377,4.01957980673269e-51,64.71,0.55,0.1,64.72,0.91,10_1_21,DB,0,-1,-1,0,6748787,3293878,10042665,0.6720115626678775,0.3279884373321225,28629,53496,21310,103435,0.27678252042345436,0.517194373277904,0.20602310629864165
235,28374,67.1928735632184,0.116101303885806,578.743487922473,1.21504980985919e-58,70.07,1.66,0.31,70.3,2.94,10_1_21,DB,-1,1,NA,0,4832357,2436605,7268962,0.6647932675944653,0.33520673240553467,36919,48612,18439,103970,0.355092815235164,0.4675579494084832,0.1773492353563528
236,28935,67.3328965517242,0.164588529771496,409.098353604621,2.00695188126936e-54,68.24,0.67,0.12,68.04,1.2,10_1_21,DB,-1,-1,-1,1,5291247,3165021,8456268,0.6257189341681224,0.3742810658318776,32873,50747,16428,100048,0.32857228530305455,0.5072265312649928,0.16420118343195267
237,26388,63.515908045977,0.0879329743143037,722.321842758879,2.4542586268131e-61,66.31,1.6,0.3,66.38,2.63,10_1_21,DB,-1,1,NA,1,5042731,3651273,8694004,0.5800240027494812,0.4199759972505189,26116,53604,23824,103544,0.2522212779108398,0.5176929614463417,0.23008576064281852
238,26166,62.9113103448276,0.165097401346189,381.055727297065,1.46516185613545e-53,66.61,2.15,0.4,66.08,3.84,10_1_21,DB,-1,0,NA,NA,2265036,1486818,3751854,0.6037111252196914,0.3962888747803086,23476,34388,15215,73079,0.32124139629715787,0.47055925778951546,0.20819934591332667
239,25417,64.5901379310345,0.216409618799334,298.462417194707,1.3675376268897e-50,67.28,1.63,0.3,66.83,1.66,10_1_21,DB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,27468,65.9406206896552,0.184033273158984,358.308144814063,8.20782196989896e-53,67.33,0.92,0.17,66.83,1.44,10_1_21,DB,-1,-1,NA,1,5983009,3872147,9855156,0.6070942966301092,0.39290570336989084,32896,51149,19973,104018,0.3162529562191159,0.4917322001961199,0.19201484358476417
241,25107,60.2488735632184,0.513576784615735,117.312299480782,3.02782957537604e-39,66.16,3.62,0.67,64.12,5.8,10_1_21,DB,-1,NA,-1,1,3746231,2765767,6511998,0.5752813499021345,0.4247186500978655,27920,43732,26017,97669,0.28586347766435616,0.4477572208172501,0.2663793015183938
242,23636,60.5278620689656,0.170472136609657,355.06014808485,1.05910102353045e-52,61.08,0.55,0.1,61.11,0.3,12_1_21,AU,-1,0,0,1,4685432,4159977,8845409,0.5297021313542426,0.47029786864575734,33564,37426,29621,100611,0.3336016936517876,0.3719871584617984,0.29441114788641404
243,21616,58.7184367816092,0.0592723915281727,990.654084772332,3.53762686544182e-65,60.35,0.94,0.17,60.35,1.73,12_1_21,AU,-1,NA,NA,1,2723921,2309742,5033663,0.54114091467784,0.45885908532216,21834,38157,22166,82157,0.265759460545054,0.4644400355417067,0.2698005039132393
244,19445,54.0851954022989,0.140902534987848,383.848277867843,1.19429371689233e-53,57.63,2.05,0.38,57.64,4.07,12_1_21,AU,0,NA,-1,1,3102770,1524064,4626834,0.6706032678068848,0.3293967321931152,28168,48682,14354,91204,0.3088461032410859,0.5337704486645323,0.15738344809438182
245,26459,58.7527816091954,0.630458373480238,93.1905801883001,1.87655340501876e-36,61.69,2.35,0.44,61.11,1.13,12_1_21,AU,-1,NA,0,1,1609746,1769416,3379162,0.4763743200237219,0.5236256799762782,23594,38247,20443,82284,0.28673861260998496,0.4648169753536532,0.24844441203636186
246,29771,49.8332873563219,0.335818783957045,148.393388747117,4.24248725917026e-42,56.78,4.04,0.75,56.88,5.73,12_1_21,AU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,28513,58.8345287356322,0.257823961681631,228.196511883107,2.50544672685405e-47,60.63,1.23,0.23,59.9,1.43,12_1_21,AU,-1,1,NA,0,4432901,2198121,6631022,0.6685094695810088,0.33149053041899124,38115,42121,14613,94849,0.4018492551318411,0.44408480848506576,0.15406593638309313
248,25430,54.2436091954023,0.357947453504657,151.540704269032,2.35892648264344e-42,57.43,2.04,0.38,58.69,2.79,12_1_21,AU,-1,NA,NA,1,4723184,2136419,6859603,0.6885506347816339,0.31144936521836614,40769,38991,18064,97824,0.4167586686293752,0.39858316977428854,0.18465816159633627
249,25139,55.1137011494253,0.127653526751859,431.744445702301,4.44083486653183e-55,56.64,0.93,0.17,56.28,1.74,12_1_21,AU,-1,0,NA,1,6625911,2099102,8725013,0.7594156020168681,0.24058439798313194,49088,37831,14252,101171,0.48519832758399145,0.37393126488815964,0.14087040752784888
250,31378,55.9115172413793,0.343814511841777,162.621167273794,3.27732105398486e-43,59.67,2.32,0.43,58.54,4.07,12_1_21,AU,-1,NA,NA,1,3590975,2708041,6299016,0.5700850736051473,0.4299149263948528,27933,39189,30177,97299,0.28708414269416954,0.40276878487959794,0.3101470724262325
251,26974,55.7510344827586,0.0822402391383843,677.904576480465,1.45083739863465e-60,55.81,0.22,0.04,55.68,0.3,13_1_21,AU,-1,-1,-1,1,6108104,2234665,8342769,0.7321434885707611,0.2678565114292389,46566,32540,22403,101509,0.45873764887842455,0.3205627087253347,0.22069964239624074
252,27960,60.3992413793103,0.877811509245182,68.8066182126579,8.8387801053373e-33,65.63,3.76,0.7,63.82,3.69,13_1_21,AU,-1,NA,-1,NA,3177024,1409054,4586078,0.6927540264251938,0.3072459735748062,36782,29103,19944,85829,0.42854979086322803,0.33908119633224204,0.23236901280452993
253,26317,58.812091954023,0.276346139560486,212.82038550479,1.76479401037076e-46,64.25,3.17,0.59,63.37,4.59,13_1_21,AU,NA,NA,NA,0,1702164,991338,2693502,0.6319520089459745,0.3680479910540256,23179,39192,10760,73131,0.31695177147857956,0.5359150018460024,0.1471332266754181
254,25275,55.998321839080504,0.161106416404471,347.585919225538,1.92129387779181e-52,59.7,2.14,0.4,59.14,4.07,13_1_21,AU,-1,0,NA,1,2396365,1585498,3981863,0.6018200525733809,0.39817994742661916,26969,43969,16580,87518,0.30815375122831873,0.5023995063872575,0.18944674238442377
255,24054,59.7354712643678,0.0669587630741525,892.123278893529,6.6465074168529193e-64,66.45,3.82,0.71,66.53,6.48,13_1_21,AU,0,0,NA,1,3179502,3259889,6439391,0.49375818303314706,0.5062418169668529,27357,48564,20591,96512,0.2834569794429708,0.5031913129973474,0.2133517075596817
256,24659,66.4383218390804,0.422476721649693,157.259130348416,8.37146729564336e-43,68.35,1.55,0.29,68.64,2.56,13_1_21,AU,-1,NA,-1,1,2398623,1766020,4164643,0.5759492470302977,0.42405075296970235,29715,37596,18179,85490,0.3475845128085156,0.4397707334191133,0.21264475377237105
257,26474,55.7831724137931,0.759842370634597,73.4141376812202,1.45348186740618e-33,64.21,5.19,0.96,61.86,7.01,13_1_21,AU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,24762,57.4879310344827,0.210283172276504,273.383411578417,1.59541884183271e-49,58.71,0.89,0.16,58.69,1.73,13_1_21,AU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,26428,55.9065057471264,1.03994414231717,53.7591428925762,8.42095801647403e-30,70.31,8.62,1.6,74.07,15,20_1_21,AU,0,0,NA,NA,2599744,1242445,3842189,0.676630951782955,0.32336904821704504,31362,29054,11883,72299,0.43378193336007415,0.40185894687340074,0.16435911976652512
260,30675,68.7483000000001,0.43798944501722,156.963371565489,2.33556498844855e-36,65.48,2.12,0.43,64.42,2.71,20_1_21,AU,-1,1,NA,NA,1969411,1299721,3269132,0.6024262709489858,0.3975737290510142,26296,28372,15709,70377,0.3736447987268568,0.403143072310556,0.22321212896258721
261,27135,54.5748045977012,0.126891059526055,430.091803169907,4.94418194439463e-55,59.55,2.84,0.53,59.9,5.28,20_1_21,AU,-1,0,NA,1,3592404,1819010,5411414,0.6638568034158909,0.33614319658410907,27674,47053,11837,86564,0.3196940991636246,0.5435631440321612,0.13674275680421422
262,24343,58.7856781609195,0.442838220943652,132.747525802204,9.56367960223391e-41,64.18,3.28,0.61,62.76,4.6,20_1_21,AU,-1,NA,-1,NA,1466074,900222,2366296,0.6195649234077224,0.38043507659227754,20766,34917,6434,62117,0.33430461870341455,0.562116650836325,0.10357873046026048
263,25319,59.1393793103449,0.403172070170085,146.685208837497,5.8645691847002e-42,59.91,1.14,0.21,59.9,2.03,20_1_21,AU,-1,0,-1,0,2958071,1740899,4698970,0.629514766001911,0.37048523399808897,25697,44899,17023,87619,0.2932811376527922,0.5124345176274552,0.19428434471975256
264,28829,50.8051494252873,0.203981840618868,249.067021216927,2.16366522599518e-48,56.29,3.16,0.59,55.53,5.88,20_1_21,AU,-1,0,NA,1,2765684,1700226,4465910,0.6192878942925406,0.3807121057074594,26427,37750,26806,90983,0.29046085532462107,0.41491267599441656,0.2946264686809624
265,25455,57.533632183908,0.720101927356236,79.8965118662237,1.37465428421081e-34,68.34,6.42,1.19,66.08,11.69,20_1_21,AU,0,NA,-1,1,3260425,2151568,5411993,0.602444422969505,0.39755557703049504,24896,48441,18362,91699,0.2714969628894535,0.5282609406863761,0.20024209642417037
266,NA,57.5234022988506,0.370981980148804,155.057133167971,1.2419005090922e-42,63.04,3.28,0.61,61.86,6.18,20_1_21,AU,-1,0,-1,1,4671921,2628253,7300174,0.6399739239092109,0.36002607609078907,31810,48517,16266,96593,0.3293199300156326,0.5022827741140662,0.16839729587030117
267,24297,54.6293103448276,0.188539497397887,289.749952125628,3.13388000817724e-50,63.48,5.05,0.94,64.12,9.05,20_1_21,AU,0,-1,NA,1,3825929,2711186,6537115,0.5852626120238056,0.4147373879761944,28011,46424,21080,95515,0.2932628382976496,0.48603884206669107,0.2206983196356593
268,27543,67.4540229885058,0.697697298281896,96.6809290427433,6.72316740704235e-37,75.91,5.14,0.95,74.07,7.61,20_1_21,AU,0,NA,NA,NA,2018071,891205,2909276,0.6936677716380295,0.3063322283619705,21683,37647,14643,73973,0.29312046287158827,0.5089289335298014,0.1979506035986103
269,29249,58.1469885057471,0.166379255255326,349.484606217973,1.64954443527054e-52,62.77,2.66,0.49,63.22,4.15,21_1_21,AU,-1,0,NA,1,3707819,2445510,6153329,0.6025712260794116,0.39742877392058834,29712,44873,22191,96776,0.30701826899231216,0.4636790113251219,0.22930271968256594
270,23449,54.4662298850575,0.135887093600161,400.819742641056,3.55711151467018e-54,57.93,2,0.37,58.24,2.95,21_1_21,AU,NA,-1,NA,NA,2145180,1075345,3220525,0.6660963662756849,0.33390363372431514,33790,26430,17332,77552,0.4357076542191046,0.34080358984939135,0.22348875593150402
271,25143,56.3353333333333,0.188177858900838,299.372804337303,1.25578438462715e-50,58.37,1.26,0.23,58.09,0.9,21_1_21,AU,-1,NA,0,NA,2877778,1927895,4805673,0.5988293419048695,0.4011706580951305,22944,48541,18727,90212,0.2543342349133153,0.5380769742384606,0.20758879084822418
272,26074,54.3969425287357,0.129261593540981,420.828345362225,9.09552821293149e-55,56.24,1.1,0.2,55.83,1.2,21_1_21,AU,-1,0,NA,1,2315760,1697924,4013684,0.5769661986344715,0.42303380136552854,27129,36096,17198,80423,0.33732887358094077,0.4488268281461771,0.21384429827288215
273,24603,53.4450344827586,0.0598786028671501,892.556471321394,6.55677711381457e-64,56.57,1.78,0.33,56.73,2.86,21_1_21,AU,-1,1,-1,1,6263098,3103407,9366505,0.6686696905622749,0.3313303094377252,37982,49516,13958,101456,0.3743691846711875,0.4880539347106135,0.13757688061819903
274,28975,63.2754942528736,0.541719642104165,116.804873471261,3.41774673924437e-39,69.8,3.97,0.74,71.36,6.41,21_1_21,AU,-1,-1,NA,0,3868106,2401379,6269485,0.6169734834679403,0.38302651653205966,26230,40878,24372,91480,0.28672933974639264,0.4468517708788806,0.26641888937472674
275,24404,54.9975172413793,0.182077832787951,302.054986042314,9.78329065183655e-51,58.79,2.21,0.41,57.94,3.53,21_1_21,AU,0,NA,-1,NA,3366514,2178522,5545036,0.6071221178726341,0.3928778821273658,22914,48459,21522,92895,0.24666559018246406,0.5216534797351848,0.23168093008235105
276,28042,57.1737701149425,0.230715652694646,247.810538414628,2.49266467968128e-48,61.87,2.73,0.51,62.46,5.5,21_1_21,AU,-1,-1,NA,1,3161478,1683581,4845059,0.6525158929953175,0.3474841070046825,36268,37737,17414,91419,0.39672278191623184,0.4127916516260296,0.19048556645773854
277,22062,61.4203448275862,0.0577443423179975,1063.65995978177,4.83139462177756e-66,65.79,2.49,0.46,65.78,4.07,21_1_21,AU,-1,0,0,1,2352024,1471072,3823096,0.6152144753885332,0.3847855246114667,27017,39941,15652,82610,0.3270427309042489,0.48348868175765647,0.18946858733809466
279,24059,53.9490476190476,0.083985816012598,642.359033708206,3.82265634447095e-56,56.11,1.24,0.24,56.43,2.19,21_1_21,AU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,29383,55.630459770115,0.202786419878262,274.330301819577,1.44825306247957e-49,56.32,0.66,0.12,56.13,0.3,27_1_21,AU,-1,0,NA,0,3240365,2383815,5624180,0.5761488785920792,0.4238511214079208,24808,41471,28020,94299,0.26307808142186023,0.4397819701163321,0.29713994846180763
281,24994,51.3168965517241,0.372524001840651,137.754604530623,3.39671621385073e-41,52.67,1.24,0.23,53.12,2.34,27_1_21,AU,-1,NA,NA,1,5087354,3702774,8790128,0.5787576699679459,0.42124233003205414,30815,45445,22597,98857,0.31171287819780086,0.4597044215381814,0.22858270026401772
282,25934,56.5081379310344,0.132949935392439,425.033210916838,6.8856594249255e-55,57.86,0.84,0.16,57.64,1.2,27_1_21,AU,-1,0,-1,0,2424264,1470750,3895014,0.6224018706993094,0.3775981293006906,26703,43008,9046,78757,0.33905557601229097,0.5460847924628922,0.11485963152481685
283,23138,58.583724137931,0.427142235269961,137.152731105846,3.83910238519498e-41,59.23,1.18,0.22,59.45,2.03,27_1_21,AU,-1,0,NA,1,2714535,1033851,3748386,0.7241876903819404,0.27581230961805964,35011,33790,10565,79366,0.4411334828515989,0.4257490613108888,0.13311745583751228
284,25063,55.4042528735632,0.0748493105898871,740.21059695704,1.23722298484414e-61,56.17,0.48,0.09,56.13,0.3,27_1_21,AU,0,NA,NA,1,1458641,1757981,3216622,0.45346982020268467,0.5465301797973153,20479,38420,23338,82237,0.2490241618736092,0.46718630300229824,0.28378953512409255
285,25735,57.0904827586207,0.399936124452711,142.749002323173,1.25481539472848e-41,59.08,1.54,0.29,59.6,1.13,27_1_21,AU,-1,NA,0,1,2096060,1893784,3989844,0.5253488607574632,0.4746511392425368,27962,41168,18765,87895,0.318129586438364,0.468377040787303,0.213493372774333
286,27594,56.7921379310344,0.230506846494092,246.379397379375,2.93132090339252e-48,57.76,0.82,0.15,57.79,1.51,27_1_21,AU,-1,0,NA,NA,3440761,1937996,5378757,0.6396944498515177,0.36030555014848226,37730,39540,16148,93418,0.4038836198591278,0.4232589008542251,0.1728574792866471
287,23550,57.9175632183908,0.136947514262138,422.917958974618,7.91781002736702e-55,60.49,1.51,0.28,60.05,2.64,27_1_21,AU,-1,0,0,NA,2674810,2165773,4840583,0.552580133426077,0.447419866573923,23422,45968,21030,90420,0.2590356115903561,0.508383101083831,0.23258128732581287
288,26453,53.8029195402299,0.342110007856785,157.26789133498,8.3584334869431e-43,56.19,1.63,0.3,55.38,2.34,27_1_21,AU,-1,1,0,1,3782666,1778451,5561117,0.6801989600290733,0.3198010399709267,34793,43101,13579,91473,0.3803636045609087,0.47118821947459905,0.14844817596449225
289,25582,61.9438390804598,0.156019125278721,397.027216822295,4.6417840829656e-54,62.93,0.69,0.13,62.61,0.53,27_1_21,AU,-1,-1,-1,NA,3420119,2709335,6129454,0.5579810208217567,0.4420189791782433,36693,34624,24730,96047,0.382031713640197,0.36049017668433164,0.25747810967547136
290,23336,52.7396091954023,0.170437262751093,309.437081681037,4.97682346555005e-51,55.24,1.49,0.28,55.38,1.36,28_1_21,AU,-1,-1,-1,NA,2995964,1247498,4243462,0.7060188119983165,0.29398118800168355,36622,36056,11106,83784,0.43710016232216176,0.4303446958846558,0.13255514179318248
291,22099,56.7810574712644,0.135550893420056,418.8910603142,1.03497128558658e-54,59.93,1.82,0.34,59.75,3.62,28_1_21,AU,NA,0,NA,NA,935600,701888,1637488,0.5713629657133366,0.4286370342866635,14918,34333,9938,59189,0.2520400750139384,0.5800571052053591,0.16790281978070248
292,25982,54.1744827586207,0.306476376003533,176.765607401975,3.17902993115837e-44,57.82,2.22,0.41,58.54,2.26,28_1_21,AU,-1,NA,NA,1,2140626,1194629,3335255,0.6418177920428872,0.3581822079571127,31057,36701,10576,78334,0.3964689662215641,0.46851941685602677,0.13501161692240918
293,24132,58.3133793103448,0.249937610652701,233.311741910559,1.3472540973301e-47,59.57,0.97,0.18,59.6,1.44,28_1_21,AU,-1,NA,0,0,1659752,669871,2329623,0.7124551912476825,0.2875448087523174,26451,36125,9328,71904,0.3678654873164219,0.5024059857587895,0.12972852692478862
294,21746,57.662,0.134818384191204,427.701313481267,5.77910734234986e-55,60.79,1.81,0.34,60.95,3.24,28_1_21,AU,-1,NA,NA,1,2250432,1232761,3483193,0.6460830622937058,0.3539169377062942,29831,32900,19311,82042,0.36360644547914484,0.4010141147217279,0.2353794397991273
295,23378,55.9005287356322,0.132204623308572,422.833387643016,7.96226539443658e-55,59.42,2.03,0.38,59.6,3.92,28_1_21,AU,-1,0,NA,1,2570313,1225628,3795941,0.677121430496417,0.3228785695035829,36669,29861,14775,81305,0.4510054732181293,0.3672713855236455,0.1817231412582252
296,24027,56.2186666666667,0.146889056076081,382.728762567229,1.29605213443812e-53,58.53,1.37,0.25,59.14,2.34,28_1_21,AU,-1,0,NA,NA,3520308,2161244,5681552,0.6196032351723614,0.3803967648276386,29467,44398,16372,90237,0.3265511929696244,0.4920154703724636,0.18143333665791195
